"Series Description","AUSTRALIA -- SPOT EXCHANGE RATE, US$/AUSTRALIAN $ RECIPROCAL OF RXI_N.M.AL ","SPOT EXCHANGE RATE - EURO AREA ","NEW ZEALAND -- SPOT EXCHANGE RATE, US$/NZ$ (RECIPROCAL OF RXI_N.M.NZ) ","United Kingdom -- Spot Exchange Rate, US$/Pound Sterling Reciprocal of rxi_n.m.uk","BRAZIL -- SPOT EXCHANGE RATE, REAIS/US$ ","CANADA -- SPOT EXCHANGE RATE, CANADIAN $/US$ ","CHINA -- SPOT EXCHANGE RATE, YUAN/US$ ","DENMARK -- SPOT EXCHANGE RATE, KRONER/US$ ","HONG KONG -- SPOT EXCHANGE RATE, HK$/US$ ","INDIA -- SPOT EXCHANGE RATE, RUPEES/US$","JAPAN -- SPOT EXCHANGE RATE, YEA/US$ ","KOREA -- SPOT EXCHANGE RATE, WON/US$ ","Malaysia - Spot Exchange Rate, Ringgit/US$ ","MEXICO -- SPOT EXCHANGE RATE, PESOS/US$ ","NORWAY -- SPOT EXCHANGE RATE, KRONER/US$ ","SWEDEN -- SPOT EXCHANGE RATE, KRONOR/US$ ","SOUTH AFRICA -- SPOT EXCHANGE RATE, RAND/US$ ","Singapore - SPOT EXCHANGE RATE, SINGAPORE $/US$ ","SRI LANKA -- SPOT EXCHANGE RATE, RUPEES/US$ ","SWITZERLAND -- SPOT EXCHANGE RATE, FRANCS/US$ ","TAIWAN -- SPOT EXCHANGE RATE, NT$/US$ ","THAILAND -- SPOT EXCHANGE RATE -- THAILAND ","VENEZUELA -- SPOT EXCHANGE RATE, BOLIVARES/US$ "
2006-01,0.7505,1.2126,0.6872,1.7686,2.2666,1.1572,8.0654,6.1530,7.7537,44.2010,115.4765,981.4350,3.7530,10.5422,6.6287,7.6697,6.0760,1.6310,102.0160,1.2773,32.0350,39.5185,2.1446
2006-02,0.7418,1.1940,0.6735,1.7480,2.1587,1.1489,8.0512,6.2514,7.7593,44.2300,117.8605,969.8447,3.7276,10.4842,6.7526,7.8226,6.1153,1.6286,102.1942,1.3052,32.3189,39.3432,2.1446
2006-03,0.7266,1.2028,0.6342,1.7442,2.1528,1.1573,8.0350,6.2025,7.7591,44.3378,117.2778,974.7109,3.7040,10.7493,6.6317,7.8109,6.2436,1.6211,102.6478,1.3050,32.4587,38.9470,2.1446
2006-04,0.7369,1.2273,0.6220,1.7680,2.1281,1.1441,8.0143,6.0798,7.7561,44.8245,117.0695,952.5950,3.6626,11.0489,6.3922,7.6005,6.0811,1.6008,102.6345,1.2830,32.2880,37.9520,2.1446
2006-05,0.7639,1.2767,0.6311,1.8687,2.1697,1.1100,8.0131,5.8398,7.7538,45.1959,111.7305,940.8168,3.6091,11.0908,6.1040,7.3050,6.3128,1.5755,102.8382,1.2190,31.7368,37.9468,2.1445
2006-06,0.7399,1.2661,0.6190,1.8435,2.2493,1.1137,8.0042,5.8897,7.7636,45.8886,114.6250,954.4500,3.6638,11.3934,6.2070,7.2949,6.9738,1.5912,103.5245,1.2321,32.4395,38.3486,2.1446
2006-07,0.7528,1.2681,0.6178,1.8443,2.1883,1.1294,7.9897,5.8826,7.7734,46.3675,115.7670,950.8100,3.6679,10.9830,6.2617,7.2654,7.0688,1.5837,103.9565,1.2376,32.6170,37.9690,2.1446
2006-08,0.7631,1.2810,0.6348,1.8941,2.1553,1.1182,7.9722,5.8236,7.7762,46.4461,115.9243,960.9522,3.6730,10.8735,6.2423,7.1890,6.9503,1.5754,103.6691,1.2318,32.7609,37.5870,2.1446
2006-09,0.7549,1.2722,0.6551,1.8839,2.1679,1.1161,7.9334,5.8633,7.7825,46.0105,117.2145,952.2900,3.6699,10.9888,6.5008,7.2844,7.4465,1.5803,102.5950,1.2455,32.9035,37.4270,2.1446
2006-10,0.7544,1.2617,0.6621,1.8765,2.1458,1.1285,7.9018,5.9085,7.7849,45.3552,118.6090,952.6429,3.6762,10.8854,6.6591,7.3338,7.6300,1.5775,105.7181,1.2602,33.1938,37.2814,2.1446
2006-11,0.7728,1.2888,0.6693,1.9125,2.1555,1.1359,7.8622,5.7858,7.7816,44.7257,117.3205,935.4143,3.6413,10.9133,6.3991,7.0612,7.2455,1.5558,107.7200,1.2356,32.8081,36.5010,2.1446
2006-12,0.7858,1.3205,0.6933,1.9629,2.1476,1.1532,7.8219,5.6452,7.7733,44.4835,117.3220,924.9800,3.5477,10.8546,6.1826,6.8398,7.0345,1.5401,107.7905,1.2099,32.5115,35.6940,2.1446
2007-01,0.7826,1.2993,0.6947,1.9587,2.1376,1.1763,7.7876,5.7364,7.8000,44.2062,120.4471,936.7619,3.5065,10.9559,6.3656,6.9901,7.1898,1.5373,108.5219,1.2431,32.7695,35.1890,2.1446
2007-02,0.7830,1.3080,0.6934,1.9589,2.0939,1.1710,7.7502,5.6981,7.8114,44.0195,120.5047,936.9000,3.4949,10.9951,6.1860,7.0200,7.1755,1.5333,108.6842,1.2393,32.9684,33.8884,2.1446
2007-03,0.7932,1.3246,0.6995,1.9474,2.0883,1.1682,7.7369,5.6232,7.8132,43.7936,117.2600,942.8841,3.4894,11.1144,6.1401,7.0171,7.3525,1.5242,109.2941,1.2178,33.0095,32.6423,2.1446
2007-04,0.8273,1.3513,0.7345,1.9879,2.0302,1.1350,7.7247,5.5155,7.8154,42.0176,118.9324,930.6905,3.4364,10.9802,6.0098,6.8371,7.1026,1.5150,109.3595,1.2124,33.1452,32.4210,2.1446
2007-05,0.8254,1.3518,0.7334,1.9842,1.9836,1.0951,7.6773,5.5120,7.8187,40.5686,120.7732,927.5636,3.4002,10.8221,6.0220,6.8094,7.0148,1.5231,110.7995,1.2211,33.2777,32.8177,2.1446
2007-06,0.8423,1.3421,0.7570,1.9867,1.9323,1.0651,7.6333,5.5463,7.8142,40.5905,122.6886,927.8667,3.4444,10.8330,5.9980,6.9485,7.1515,1.5367,110.9662,1.2330,32.9743,32.3176,2.1446
2007-07,0.8677,1.3726,0.7862,2.0355,1.8812,1.0502,7.5757,5.4199,7.8197,40.2738,121.4148,918.1190,3.4397,10.8146,5.7807,6.6933,6.9730,1.5156,111.6724,1.2069,32.8095,30.3867,2.1446
2007-08,0.8291,1.3626,0.7259,2.0110,1.9620,1.0579,7.5734,5.4621,7.8155,40.6791,116.7335,934.4848,3.4826,11.0438,5.8492,6.8429,7.2153,1.5226,112.1839,1.2027,32.9617,31.7961,2.1446
2007-09,0.8461,1.3910,0.7188,2.0184,1.9023,1.0267,7.5210,5.3563,7.7824,40.1735,115.0435,928.5950,3.4691,11.0319,5.6256,6.6713,7.1007,1.5110,113.3415,1.1852,33.0100,32.0565,2.1446
2007-10,0.8996,1.4233,0.7603,2.0449,1.7987,0.9754,7.5019,5.2363,7.7545,39.3661,115.8661,914.9435,3.3735,10.8214,5.4023,6.4439,6.7574,1.4650,112.8583,1.1741,32.5473,31.5248,2.1446
2007-11,0.8961,1.4683,0.7631,2.0701,1.7669,0.9672,7.4210,5.0766,7.7774,39.3267,111.0729,918.8095,3.3588,10.8811,5.4156,6.3242,6.7049,1.4466,110.4181,1.1233,32.3275,31.3476,2.1446
2007-12,0.8719,1.4559,0.7690,2.0161,1.7852,1.0021,7.3682,5.1235,7.7983,39.3750,112.4490,931.0950,3.3324,10.8463,5.5000,6.4764,6.8376,1.4487,108.8910,1.1402,32.4115,30.1580,2.1446
2008-01,0.8823,1.4728,0.7740,1.9702,1.7710,1.0099,7.2405,5.0575,7.8044,39.2676,107.8181,942.0571,3.2653,10.9057,5.3993,6.3978,6.9962,1.4299,108.1557,1.1006,32.3586,30.3048,2.1446
2008-02,0.9133,1.4759,0.7969,1.9646,1.7290,0.9986,7.1644,5.0507,7.7963,39.6735,107.0300,944.0050,3.2216,10.7679,5.3851,6.3450,7.6578,1.4106,107.8270,1.0890,31.6125,31.1740,2.1446
2008-03,0.9221,1.5520,0.8004,2.0015,1.7090,1.0029,7.0722,4.8043,7.7813,40.1452,100.7562,981.7348,3.1841,10.7328,5.1495,6.0613,7.9921,1.3843,107.6838,1.0126,30.5771,31.4043,2.1446
2008-04,0.9309,1.5754,0.7897,1.9816,1.6863,1.0137,6.9997,4.7354,7.7910,39.9668,102.6777,986.8636,3.1604,10.5146,5.0541,5.9470,7.7585,1.3643,107.7791,1.0138,30.3555,31.5582,2.1446
2008-05,0.9492,1.5554,0.7777,1.9650,1.6585,0.9993,6.9725,4.7963,7.7988,42.0019,104.3595,1034.1333,3.2127,10.4381,5.0571,5.9887,7.6076,1.3659,107.7705,1.0448,30.5890,32.0262,2.1446
2008-06,0.9511,1.5562,0.7616,1.9664,1.6179,1.0166,6.8993,4.7926,7.8073,42.7633,106.9152,1031.4857,3.2568,10.3269,5.1351,6.0249,7.9367,1.3679,107.7633,1.0371,30.3705,33.1752,2.1446
2008-07,0.9620,1.5759,0.7546,1.9888,1.5900,1.0130,6.8355,4.7335,7.8001,42.7027,106.8518,1015.0545,3.2476,10.2094,5.1058,6.0015,7.6114,1.3591,107.6086,1.0283,30.4141,33.4705,2.1446
2008-08,0.8815,1.4955,0.7091,1.8865,1.6127,1.0535,6.8462,4.9894,7.8076,42.9057,109.3624,1046.1143,3.3300,10.1154,5.3331,6.2845,7.6651,1.4052,107.7181,1.0841,31.2205,33.8195,2.1446
2008-09,0.8168,1.4342,0.6739,1.7973,1.8031,1.0582,6.8307,5.2020,7.7854,45.5300,106.5748,1134.8667,3.4405,10.6633,5.6958,6.6816,8.0753,1.4297,107.8233,1.1102,31.9924,34.2381,2.1446
2008-10,0.6870,1.3266,0.6077,1.6862,2.1810,1.1847,6.8358,5.6253,7.7588,48.6155,99.9659,1329.1877,3.5222,12.6593,6.4973,7.4435,9.7800,1.4784,108.1661,1.1429,32.7025,34.4209,2.1446
2008-11,0.6591,1.2744,0.5664,1.5327,2.2704,1.2171,6.8281,5.8448,7.7507,48.8517,96.9656,1398.7044,3.5843,13.1186,6.9290,7.9612,10.1112,1.5076,109.9594,1.1910,33.1028,35.0350,2.1446
2008-12,0.6719,1.3511,0.5597,1.4854,2.3954,1.2337,6.8539,5.5239,7.7504,48.5132,91.2750,1361.5727,3.5483,13.4167,7.0159,8.0124,9.9227,1.4769,111.4464,1.1404,33.1555,35.0086,2.1446
2009-01,0.6754,1.3244,0.5510,1.4462,2.3079,1.2248,6.8360,5.6284,7.7563,48.6995,90.1205,1354.3975,3.5705,13.8839,6.9566,8.1044,9.9076,1.4913,113.7685,1.1267,33.3695,34.8710,2.1446
2009-02,0.6504,1.2797,0.5160,1.4422,2.3230,1.2452,6.8363,5.8226,7.7534,49.2484,92.9158,1439.5842,3.6345,14.6066,6.8710,8.5455,9.9773,1.5178,114.1026,1.1639,34.2389,35.3089,2.1446
2009-03,0.6666,1.3050,0.5336,1.4170,2.3161,1.2645,6.8360,5.7137,7.7530,51.1291,97.8550,1449.6159,3.6726,14.6466,6.7855,8.5727,9.9536,1.5296,114.2836,1.1555,34.3041,35.7368,2.1446
2009-04,0.7158,1.3199,0.5729,1.4712,2.2027,1.2242,6.8306,5.6437,7.7501,49.9655,98.9200,1332.1250,3.6053,13.4035,6.6557,8.2297,8.9644,1.5028,117.3068,1.1481,33.6009,35.4036,2.1446
2009-05,0.7648,1.3646,0.6014,1.5418,2.0689,1.1528,6.8235,5.4585,7.7510,48.5100,96.6445,1254.3450,3.5218,13.1895,6.4504,7.7602,8.3741,1.4611,116.6720,1.1076,32.8695,34.6240,2.1446
2009-06,0.8025,1.4014,0.6386,1.6369,1.9586,1.1264,6.8334,5.3123,7.7505,47.6736,96.6145,1259.2932,3.5156,13.3414,6.3915,7.7670,8.0332,1.4522,114.8105,1.0809,32.7700,34.1036,2.1446
2009-07,0.8049,1.4092,0.6444,1.6378,1.9328,1.1229,6.8317,5.2837,7.7500,48.3624,94.3670,1259.6739,3.5443,13.3623,6.3566,7.6843,7.9446,1.4493,114.8002,1.0780,32.8745,34.0313,2.1446
2009-08,0.8353,1.4266,0.6766,1.6532,1.8453,1.0872,6.8323,5.2174,7.7506,48.2426,94.8971,1238.9952,3.5156,13.0063,6.0705,7.1562,7.9406,1.4420,114.7148,1.0683,32.8564,34.0076,2.1446
2009-09,0.8622,1.4575,0.7046,1.6323,1.8187,1.0816,6.8277,5.1065,7.7503,48.2924,91.2748,1211.8643,3.4899,13.4060,5.9006,6.9941,7.5025,1.4220,114.7667,1.0391,32.5333,33.7876,2.1446
2009-10,0.9067,1.4821,0.7386,1.6212,1.7378,1.0547,6.8267,5.0220,7.7497,46.6524,90.3671,1173.7405,3.4016,13.2275,5.6428,6.9550,7.4871,1.3974,114.7838,1.0213,32.2910,33.3900,2.1446
2009-11,0.9197,1.4908,0.7301,1.6599,1.7268,1.0593,6.8271,4.9914,7.7497,46.5305,89.2674,1162.8368,3.3886,13.1115,5.6430,6.9267,7.5096,1.3888,114.4853,1.0131,32.3189,33.2621,2.1430
2009-12,0.9021,1.4579,0.7169,1.6226,1.7508,1.0537,6.8275,5.1060,7.7526,46.5273,89.9509,1163.3109,3.4099,12.8622,5.7708,7.1384,7.4848,1.3962,114.2836,1.0301,32.2459,33.2045,2.1446
2010-01,0.9127,1.4266,0.7263,1.6158,1.7817,1.0438,6.8269,5.2177,7.7624,45.8944,91.1011,1138.1947,3.3750,12.8096,5.7402,7.1534,7.4631,1.3965,114.3589,1.0345,31.8658,33.0274,3.6137
2010-02,0.8857,1.3680,0.6973,1.5618,1.8420,1.0572,6.8285,5.4414,7.7670,46.2732,90.1395,1155.6553,3.4139,12.9396,5.9182,7.2683,7.6680,1.4122,114.5079,1.0722,32.0621,33.1221,4.2893
2010-03,0.9123,1.3570,0.7036,1.5058,1.7855,1.0229,6.8262,5.4837,7.7612,45.4509,90.7161,1136.0822,3.3205,12.5673,5.9204,7.1630,7.4057,1.3994,114.1039,1.0666,31.8291,32.4913,4.2893
2010-04,0.9262,1.3417,0.7122,1.5332,1.7568,1.0052,6.8256,5.5472,7.7627,44.4440,93.4527,1115.4591,3.2044,12.2396,5.9169,7.2026,7.3444,1.3817,113.8286,1.0690,31.4767,32.2686,4.2893
2010-05,0.8713,1.2563,0.6984,1.4669,1.8142,1.0403,6.8275,5.9253,7.7856,45.7690,91.9730,1164.8410,3.2509,12.7262,6.2872,7.7042,7.6515,1.3940,113.7025,1.1295,31.8345,32.3650,4.2893
2010-06,0.8539,1.2223,0.6926,1.4768,1.8042,1.0376,6.8184,6.0873,7.7880,46.4983,90.8059,1214.1114,3.2633,12.7102,6.4728,7.8261,7.6356,1.3976,113.5605,1.1255,32.1988,32.4459,4.2893
2010-07,0.8786,1.2811,0.7145,1.5304,1.7689,1.0422,6.7762,5.8179,7.7753,46.7617,87.5005,1203.8095,3.2035,12.8038,6.2633,7.4066,7.5212,1.3756,112.9571,1.0530,32.0935,32.2895,4.2896
2010-08,0.9004,1.2903,0.7150,1.5661,1.7589,1.0404,6.7873,5.7745,7.7702,46.4605,85.3727,1179.5159,3.1516,12.7660,6.1481,7.3015,7.2877,1.3551,112.3968,1.0388,31.8695,31.7173,4.2897
2010-09,0.9398,1.3103,0.7288,1.5591,1.7180,1.0330,6.7396,5.6867,7.7643,45.8729,84.3571,1159.9310,3.1032,12.7977,6.0431,7.0397,7.1100,1.3333,112.3029,1.0002,31.6410,30.7771,4.2893
2010-10,0.9818,1.3901,0.7520,1.5867,1.6837,1.0179,6.6678,5.3638,7.7580,44.3540,81.7285,1121.9400,3.0989,12.4393,5.8322,6.6770,6.9087,1.3026,111.6670,0.9686,30.8130,29.9205,4.2893
2010-11,0.9889,1.3654,0.7723,1.5961,1.7131,1.0129,6.6538,5.4617,7.7546,44.9315,82.5180,1129.6230,3.1132,12.3376,5.9645,6.8201,6.9749,1.2987,111.5155,0.9847,30.3180,29.8690,4.2893
2010-12,0.9929,1.3221,0.7511,1.5595,1.6955,1.0081,6.6497,5.6366,7.7736,45.1000,83.3376,1145.4833,3.1283,12.3902,5.9833,6.8524,6.8237,1.3063,111.0081,0.9689,29.9014,30.0857,4.2893
2011-01,0.9962,1.3371,0.7656,1.5782,1.6745,0.9939,6.5964,5.5749,7.7803,45.3750,82.6250,1118.8675,3.0595,12.1280,5.8561,6.6673,6.9239,1.2863,110.8200,0.9565,29.1105,30.5455,4.2898
2011-02,1.0084,1.3656,0.7620,1.6124,1.6664,0.9876,6.5761,5.4596,7.7895,45.3795,82.5368,1117.4368,3.0453,12.0649,5.7319,6.4342,7.1844,1.2757,110.8074,0.9500,29.2779,30.6953,4.2893
2011-03,1.0113,1.4020,0.7423,1.6159,1.6574,0.9766,6.5645,5.3191,7.7913,44.9143,81.6470,1119.2674,3.0341,11.9963,5.5913,6.3493,6.8976,1.2678,110.3022,0.9185,29.4930,30.3330,4.2893
2011-04,1.0588,1.4460,0.7894,1.6379,1.5833,0.9580,6.5267,5.1577,7.7716,44.3010,83.1771,1083.1762,3.0101,11.7059,5.4015,6.1990,6.7209,1.2463,110.2129,0.8972,28.9824,30.0424,4.2893
2011-05,1.0675,1.4335,0.7959,1.6332,1.6136,0.9680,6.4957,5.2030,7.7742,44.9024,81.1257,1084.3619,3.0127,11.6542,5.4766,6.2526,6.8556,1.2387,109.7629,0.8740,28.7262,30.2210,4.2893
2011-06,1.0617,1.4403,0.8157,1.6219,1.5854,0.9766,6.4746,5.1782,7.7850,44.8109,80.4259,1080.4523,3.0269,11.8055,5.4366,6.3273,6.7859,1.2336,109.5391,0.8401,28.8118,30.4995,4.2893
2011-07,1.0781,1.4275,0.8480,1.6158,1.5625,0.9553,6.4575,5.2230,7.7892,44.3960,79.2425,1057.4250,2.9924,11.6741,5.4502,6.3957,6.7871,1.2158,109.4570,0.8214,28.8350,30.0475,4.2893
2011-08,1.0502,1.4333,0.8379,1.6356,1.5966,0.9817,6.4036,5.1973,7.7965,45.3135,76.9657,1073.8870,2.9824,12.2366,5.4353,6.3970,7.0871,1.2089,109.7139,0.7800,28.9674,29.8735,4.2893
2011-09,1.0220,1.3747,0.8119,1.5771,1.7492,1.0025,6.3885,5.4170,7.7943,47.6905,76.7957,1121.9095,3.0838,13.0637,5.6257,6.6460,7.5769,1.2537,110.0529,0.8767,29.7395,30.4571,4.2893
2011-10,1.0168,1.3732,0.7912,1.5768,1.7703,1.0198,6.3710,5.4225,7.7774,49.2020,76.6430,1150.6850,3.1336,13.4379,5.6405,6.6396,7.9540,1.2757,110.0875,0.8958,30.2590,30.8395,4.2893
2011-11,1.0112,1.3558,0.7714,1.5806,1.7864,1.0248,6.3564,5.4886,7.7809,50.6785,77.5595,1133.4775,3.1521,13.6955,5.7405,6.7377,8.1493,1.2886,111.2205,0.9079,30.2215,30.9315,4.2893
2011-12,1.0122,1.3155,0.7699,1.5587,1.8391,1.0235,6.3482,5.6521,7.7767,52.3824,77.7967,1148.1262,3.1590,13.7746,5.8912,6.8553,8.1933,1.2954,113.8067,0.9334,30.2505,31.1743,4.2893
2012-01,1.0415,1.2910,0.8015,1.5524,1.7850,1.0130,6.3172,5.7599,7.7622,51.0015,76.9640,1140.3275,3.1092,13.3829,5.9424,6.8463,8.0025,1.2777,113.8195,0.9376,29.9900,31.5060,4.2893
2012-02,1.0732,1.3238,0.8349,1.5804,1.7168,0.9967,6.2997,5.6156,7.7544,49.1812,78.4700,1122.6900,3.0220,12.7833,5.7097,6.6619,7.6388,1.2535,117.2810,0.9118,29.5340,30.6850,4.2896
2012-03,1.0526,1.3208,0.8201,1.5824,1.7953,0.9938,6.3125,5.6294,7.7620,50.3635,82.4659,1126.1700,3.0444,12.7523,5.7074,6.7319,7.6071,1.2590,125.6605,0.9131,29.5158,30.7036,4.2895
2012-04,1.0350,1.3160,0.8180,1.6000,1.8522,0.9928,6.3043,5.6529,7.7621,51.6900,81.2524,1135.0238,3.0586,13.0559,5.7521,6.7359,7.8329,1.2510,128.4248,0.9133,29.4433,30.8614,4.2893
2012-05,0.9980,1.2806,0.7748,1.5924,1.9810,1.0097,6.3242,5.8061,7.7640,54.3314,79.6668,1156.6914,3.0978,13.6199,5.9151,7.0280,8.1506,1.2620,129.0045,0.9383,29.4668,31.2850,4.2893
2012-06,0.9986,1.2541,0.7806,1.5556,2.0482,1.0280,6.3633,5.9266,7.7590,55.9424,79.3152,1163.3886,3.1783,13.9193,6.0146,7.0746,8.3818,1.2784,131.8519,0.9576,29.9052,31.6152,4.2893
2012-07,1.0300,1.2278,0.7986,1.5593,2.0296,1.0142,6.3717,6.0590,7.7561,55.4248,78.9348,1142.2781,3.1653,13.3638,6.0690,6.9504,8.2535,1.2603,132.4848,0.9783,29.9729,31.6181,4.2893
2012-08,1.0475,1.2406,0.8104,1.5722,2.0279,0.9924,6.3593,6.0015,7.7562,55.4935,78.6909,1131.7457,3.1153,13.1793,5.9012,6.6758,8.2596,1.2480,131.9896,0.9681,29.9426,31.3970,4.2893
2012-09,1.0406,1.2885,0.8199,1.6126,2.0269,0.9783,6.3200,5.7855,7.7540,54.3500,78.1353,1122.9911,3.0758,12.9235,5.7467,6.5960,8.2574,1.2303,131.5105,0.9386,29.4763,30.9442,4.2893
2012-10,1.0298,1.2974,0.8197,1.6080,2.0297,0.9872,6.2627,5.7486,7.7515,53.0995,79.0132,1105.3823,3.0524,12.8976,5.7078,6.6400,8.6424,1.2237,129.0859,0.9323,29.2418,30.6764,4.2893
2012-11,1.0405,1.2837,0.8195,1.5968,2.0662,0.9970,6.2338,5.8100,7.7505,54.7845,81.0305,1086.9525,3.0555,13.0639,5.7180,6.7059,8.7994,1.2232,130.2340,0.9388,29.1145,30.6945,4.2893
2012-12,1.0465,1.3119,0.8312,1.6145,2.0775,0.9898,6.2328,5.6864,7.7501,54.6470,83.7905,1075.2225,3.0537,12.8651,5.6103,6.5936,8.6116,1.2204,128.0360,0.9213,29.0445,30.6155,4.2893
2013-01,1.0500,1.3304,0.8370,1.5965,2.0281,0.9921,6.2215,5.6087,7.7530,54.2290,89.0581,1066.5205,3.0407,12.6964,5.5500,6.4801,8.7978,1.2282,126.7200,0.9234,29.1000,30.0410,4.2893
2013-02,1.0310,1.3347,0.8385,1.5474,1.9729,1.0098,6.2323,5.5894,7.7552,53.8079,93.0016,1087.3084,3.0964,12.7249,5.5648,6.3756,8.8766,1.2382,126.7342,0.9212,29.6321,29.8105,5.6554
2013-03,1.0345,1.2953,0.8284,1.5080,1.9842,1.0244,6.2154,5.7552,7.7592,54.4229,94.7700,1102.8710,3.1074,12.5000,5.7806,6.4455,9.1927,1.2466,126.7005,0.9466,29.7448,29.4948,6.2842
